,job_name,norm_job_submit_time,gpu_milli,ddl,A100,GTX2080Ti,V100
1,openb-pod-7884,0,320,inf,2536.0,3856,6342
2,openb-pod-2884,0,320,22908.0,14587.0,27230,38285
3,openb-pod-3253,0,650,inf,1772.0,3115,4483
4,openb-pod-2439,0,320,inf,1749.0,3056,4384
5,openb-pod-6778,0,650,inf,1005.0,1443,2563
6,openb-pod-3068,0,460,inf,1229.0,2387,3111
7,openb-pod-2718,0,470,inf,4192.0,7458,10097
8,openb-pod-1467,0,460,inf,1350.0,2530,3504
9,openb-pod-1869,0,650,inf,1138.0,2221,2739
10,openb-pod-2957,0,650,inf,1661.0,3088,4413
11,openb-pod-1808,0,320,inf,3855.0,5697,9518
12,openb-pod-1773,0,650,inf,1062.0,1945,2570
13,openb-pod-4291,0,650,inf,3197.0,4558,7877
14,openb-pod-7737,0,460,inf,1200.0,2377,3141
15,openb-pod-3868,0,320,inf,5523.0,8866,13546
16,openb-pod-7234,0,470,59849.0,23731.0,45278,61921
17,openb-pod-4479,0,320,inf,6069.0,10255,15316
18,openb-pod-5365,0,160,1489.0,1016.0,1814,2676
19,openb-pod-3864,0,230,4227.0,1417.0,2651,3637
20,openb-pod-5901,0,160,inf,2848.0,3988,6924
21,openb-pod-7941,0,320,inf,11136.0,21347,28959
22,openb-pod-7728,0,460,inf,1200.0,2264,3045
23,openb-pod-6369,0,470,inf,1086.0,1996,2871
24,openb-pod-7280,0,460,inf,2039.0,3845,5119
25,openb-pod-1315,0,470,inf,3580.0,5142,8883
26,openb-pod-4733,0,110,inf,22724.0,34533,54827
27,openb-pod-1544,0,160,inf,2175.0,3960,5491
28,openb-pod-6749,0,460,inf,2371.0,4279,5706
29,openb-pod-5036,0,460,inf,1528.0,2254,3749
30,openb-pod-5009,0,650,inf,2590.0,3676,6628
31,openb-pod-6520,0,460,4652.0,2399.0,4318,6119
32,openb-pod-7279,0,160,inf,3036.0,4337,7500
33,openb-pod-2354,0,220,inf,21304.0,41886,56257
34,openb-pod-5906,0,160,inf,1301.0,1949,3399
35,openb-pod-3301,0,810,inf,44558.0,74195,110703
36,openb-pod-2145,0,650,inf,1694.0,2680,4098
37,openb-pod-5889,0,470,inf,2479.0,3657,6020
38,openb-pod-4085,0,320,inf,1201.0,2181,2914
39,openb-pod-3297,0,460,inf,1736.0,2498,4609
40,openb-pod-7938,0,320,16490.0,6693.0,10359,16443
41,openb-pod-1254,0,650,inf,1365.0,2050,3317
42,openb-pod-3121,0,320,inf,1151.0,1797,2855
43,openb-pod-4625,0,470,inf,1710.0,2608,4438
44,openb-pod-4173,0,470,inf,1567.0,2782,3792
45,openb-pod-2105,0,460,inf,64498.0,91998,156317
46,openb-pod-7696,0,220,28408.0,14192.0,20404,35583
47,openb-pod-2175,0,650,inf,1377.0,2680,3488
48,openb-pod-7739,0,320,34092.0,12198.0,17462,30950
49,openb-pod-6297,0,470,inf,7748.0,13869,19287
50,openb-pod-2418,0,470,inf,2479.0,4810,6367
51,openb-pod-8116,0,320,inf,23843.0,38674,59194
52,openb-pod-6810,0,320,30825.0,12578.0,20648,30948
53,openb-pod-2950,0,320,inf,2818.0,4515,7433
54,openb-pod-3563,0,230,inf,3578.0,5481,9495
55,openb-pod-3367,0,470,inf,1020.0,1434,2616
56,openb-pod-3583,0,460,inf,1796.0,3178,4589
57,openb-pod-3215,0,220,inf,10704.0,18402,27023
58,openb-pod-7527,0,810,inf,62517.0,108661,151133
59,openb-pod-6559,0,460,4680.0,1619.0,2821,4246
60,openb-pod-2455,0,470,inf,8999.0,15512,21863
61,openb-pod-1094,0,230,5287.0,2524.0,4219,6202
62,openb-pod-1352,0,320,inf,31053.0,52299,79999
63,openb-pod-5275,0,460,inf,2580.0,5141,6212
64,openb-pod-1610,0,160,inf,1281.0,1970,3344
65,openb-pod-2244,0,320,inf,5366.0,8014,13967
66,openb-pod-5171,0,320,inf,16793.0,24050,43673
67,openb-pod-3909,0,110,inf,22724.0,39359,54638
68,openb-pod-6752,0,650,inf,1453.0,2495,3521
69,openb-pod-1337,0,460,inf,12475899.0,23360008,30161973
70,openb-pod-3784,0,320,inf,1749.0,3221,4314
71,openb-pod-4009,0,160,inf,2220.0,4388,5465
72,openb-pod-5461,0,320,inf,75073.0,114538,181994
73,openb-pod-1412,0,460,2761.0,1692.0,2796,4246
74,openb-pod-6987,0,650,2002.0,1539.0,3023,3887
75,openb-pod-6018,0,220,inf,7389.0,11720,19633
76,openb-pod-5953,0,470,inf,4021.0,8038,9654
77,openb-pod-2827,0,460,inf,24300.0,39252,61902
78,openb-pod-6851,0,320,inf,2818.0,4373,7385
79,openb-pod-5812,0,320,inf,3962.0,6777,10268
80,openb-pod-2521,0,460,inf,1350.0,2093,3391
81,openb-pod-2121,0,650,inf,1381.0,2439,3555
